param_id,repetition,accident_probability,helmet,change_lane_switch,scooter_safety_slider,average_congestion_final,avg_car_travel_time_final,avg_scooter_travel_time_final,car_person_accidents_final,car_scooter_accidents_final,helmet_ratio_final,scooter_person_accidents_final,scooter_scooter_accidents_final,step_final,average_congestion_max,avg_car_travel_time_max,avg_scooter_travel_time_max,car_person_accidents_max,car_scooter_accidents_max,helmet_ratio_max,scooter_person_accidents_max,scooter_scooter_accidents_max,step_max,average_congestion_mean,avg_car_travel_time_mean,avg_scooter_travel_time_mean,car_person_accidents_mean,car_scooter_accidents_mean,helmet_ratio_mean,scooter_person_accidents_mean,scooter_scooter_accidents_mean,step_mean,average_congestion_min,avg_car_travel_time_min,avg_scooter_travel_time_min,car_person_accidents_min,car_scooter_accidents_min,helmet_ratio_min,scooter_person_accidents_min,scooter_scooter_accidents_min,step_min
14,3,0.2,0,0,0.7,0.248447204968944,4850.16363636364,4229.3,4.0,6.0,0.0,27.0,13.0,30001.0,8.033126294,4850.16363636364,4229.3,4.0,6.0,0.0,27.0,13.0,30001.0,1.47801326702485,0.0,0.0,2.97366842210519,4.796613559,0.0,24.3951069928671,11.9483367775482,15000.5,0,664,162,0,0,0,0,0,0
15,1,0.2,0,1,0.2,0.496894409937888,5606.63636363636,3016.203125,8.0,2.0,0.0,17.0,5.0,30001.0,15.1552795031056,5606.63636363636,3016.203125,8.0,2.0,0.0,17.0,5.0,30001.0,1.70624649868103,0.0,0.0,7.213019132057859,1.80887940803946,0.0,15.0912605826278,4.90387307512833,15000.5,0,366,180,0,0,0,0,0,0
15,2,0.2,0,1,0.2,0.165631469979296,4178.57692307692,3019.78181818182,7.0,4.0,,15.0,8.0,30001.0,14.9068322981366,4178.57692307692,3019.78181818182,7.0,4.0,0.0,15.0,8.0,30001.0,1.50610801239925,0.0,0.0,5.82494500366642,3.8299780014665696,0.0,13.7774815012333,7.65178988067462,15000.5,0,48,250,0,0,0,0,0,0
15,3,0.2,0,1,0.2,0.248447204968944,4614.51612903226,4798.94545454546,5.0,8.0,0.0,13.0,7.0,30001.0,15.2380952380952,4614.51612903226,4798.94545454546,5.0,8.0,0.0,13.0,7.0,30001.0,1.80859716322617,0.0,0.0,4.40080661289247,7.44543697086861,0.0,11.2678154789681,6.73568428771415,15000.5,0,414,197,0,0,0,0,0,0
16,1,0.2,0,1,0.5,0.248447204968944,3129.7037037037,3261.32608695652,5.0,5.0,0.0,15.0,8.0,30001.0,14.9896480331263,3129.7037037037,3261.32608695652,5.0,5.0,0.0,15.0,8.0,30001.0,1.30773890436329,0.0,0.0,4.43157122858476,4.88200786614226,0.0,14.1737550829945,7.13159122725152,15000.5,0,8,61,0,0,0,0,0,0
16,2,0.2,0,1,0.5,0.496894409937888,3072.32692307692,3884.4696969697,7.0,2.0,0.0,14.0,7.0,30001.0,14.9896480331263,3072.32692307692,3884.4696969697,7.0,2.0,0.0,14.0,7.0,30001.0,1.48402252824309,0.0,0.0,5.09752683154456,1.85140990600627,0.0,12.7373508432771,6.74285047663489,15000.5,0,0,33,0,0,0,0,0,0
16,3,0.2,0,1,0.5,0.579710144927536,3570.09090909091,3722.95,5.0,4.0,0.0,16.0,6.0,30001.0,15.4037267080745,3570.09090909091,3722.95,5.0,4.0,0.0,16.0,6.0,30001.0,1.71785097004622,0.0,0.0,3.84774348376775,3.39367375508299,0.0,14.3216452236518,5.61759216052263,15000.5,0,0,376,0,0,0,0,0,0
17,1,0.2,0,1,0.7,0.496894409937888,2858.58928571429,3602.62,5.0,3.0,0.0,18.0,9.0,30001.0,15.0724637681159,2858.58928571429,3602.62,5.0,3.0,0.0,18.0,9.0,30001.0,1.39459025713021,0.0,0.0,4.72621825211653,2.60839277381508,0.0,17.0052996466902,8.47996800213319,15000.5,0,103,343,0,0,0,0,0,0
17,2,0.2,0,1,0.7,0.248447204968944,3386.47272727273,3919.5172413793102,8.0,5.0,0.0,11.0,7.0,30001.0,15.1552795031056,3386.47272727273,3919.5172413793102,8.0,5.0,0.0,11.0,7.0,30001.0,1.40197968858696,0.0,0.0,6.92727151523232,4.67468835410973,0.0,10.1625558296114,6.8509766015599,15000.5,0,112,149,0,0,0,0,0,0
17,3,0.2,0,1,0.7,0.41407867494824,4834.2131147541,3910.4,2.0,6.0,0.0,15.0,8.0,30001.0,14.9068322981366,4834.2131147541,3910.4,2.0,6.0,0.0,15.0,8.0,30001.0,1.72944716038991,0.0,0.0,1.86620891940537,5.82571161922539,0.0,13.798280114659,7.85817612159189,15000.5,0,127,324,0,0,0,0,0,0
18,1,0.2,1,0,0.2,0.165631469979296,3761.6393442623,4537.40740740741,4.0,5.0,,33.0,14.0,30001.0,8.36438923395445,3761.6393442623,4537.40740740741,4.0,5.0,1.0,33.0,14.0,30001.0,1.12486082708399,0.0,0.0,3.51903206452903,4.64429038064129,0.0,29.4008066128925,13.4637690820612,15000.5,0,572,0,0,0,1,0,0,0
